RefId,IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThree AmericanName,MMR Current AvgPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
8,0,12/7/2009,ADESA,2005,4,FORD,TAURUS,SE,4D SEDAN SE,WHITE,AUTO,2,Covers,65805,AMERICAN,MEDIUM,FORD,3713,NULL,NULL,19638,33619,FL,4500,0,825
16,0,12/14/2009,ADESA,2003,6,CHEVROLET,CAVALIER 4C,Bas,2D COUPE,WHITE,MANUAL,2,Covers,72132,AMERICAN,COMPACT,GM,2128,NULL,NULL,5546,33619,FL,3300,0,1455
19,0,12/14/2009,ADESA,2005,4,CHEVROLET,IMPALA,Bas,4D SEDAN,GREY,AUTO,2,Covers,65925,AMERICAN,LARGE,GM,4107,NULL,NULL,19638,33619,FL,5700,0,1703
23,0,12/21/2009,ADESA,2004,5,CHEVROLET,VENTURE FWD V6,LS,PASSENGER 3.4L,SILVER,AUTO,2,Covers,98130,AMERICAN,VAN,GM,2446,NULL,NULL,5546,33619,FL,4100,0,5613
42,1,1/4/2010,ADESA,2005,5,NISSAN,SENTRA,Bas,4D SEDAN 1.8,SILVER,AUTO,NULL,NULL,86889,TOP LINE ASIAN,COMPACT,OTHER,4522,NULL,NULL,19638,33619,FL,5200,0,594
56,0,1/18/2010,ADESA,2006,4,DODGE,DURANGO 2WD V8,SXT,4D SUV 4.7L,SILVER,AUTO,1,Alloy,50308,AMERICAN,MEDIUM SUV,CHRYSLER,8881,NULL,NULL,20928,33619,FL,9635,0,1086
59,1,1/18/2010,ADESA,2004,6,CHRYSLER,PACIFICA FWD,,4D SPORT TOURER,GOLD,AUTO,1,Alloy,87008,AMERICAN,CROSSOVER,CHRYSLER,6372,NULL,NULL,19638,33619,FL,6900,0,1503
70,0,1/25/2010,ADESA,2007,3,SUZUKI,FORENZA,,4D SEDAN,GOLD,AUTO,2,Covers,35796,OTHER ASIAN,MEDIUM,OTHER,5451,NULL,NULL,5546,33619,FL,5900,0,462
96,0,2/1/2010,ADESA,2004,6,CHEVROLET,TRACKER 2WD V6,LT,4D SUV HARDTOP 2.5L LT,WHITE,AUTO,1,Alloy,78412,AMERICAN,SMALL SUV,GM,4133,NULL,NULL,19638,33619,FL,5100,0,1155
108,0,2/15/2010,ADESA,2007,3,DODGE,1500 RAM PICKUP 2WD,SLT,QUAD CAB 4.7L FFV BIG HORN,RED,AUTO,1,Alloy,89849,AMERICAN,LARGE TRUCK,CHRYSLER,15107,NULL,NULL,19638,33619,FL,9900,0,983
